Card on the Table: ; Cards in Hand: ; Possible Move: ; Applicable rule: 
Blue 4 ; Yellow 8, Red 9, Wild Normal, Red 7, Red 1, Blue Draw 2, Blue Reverse ;Wild Normal;Wild cards can be played on any colour
Blue 4 ; Yellow 8, Red 9, Wild Normal, Red 7, Red 1, Blue Draw 2, Blue Reverse ;Blue Draw 2;it is the same color as the tabled card
Blue 4 ; Yellow 8, Red 9, Wild Normal, Red 7, Red 1, Blue Draw 2, Blue Reverse ;Blue Reverse;it is the same color as the tabled card
Blue Draw 2 ; Green 6, Green 7, Wild Normal, Red 0, Green Skip, Wild Normal, Yellow 6 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue 5 ; Green 8, Blue 1, Red 3, Yellow 6, Red Skip, Red 7, Green 6 ;Blue 1;it is the same color as the tabled card
Green 0 ; Yellow 3, Blue 1, Yellow 2, Green 6, Blue 7, Green 1, Red 1 ;Green 6;it is the same color as the tabled card
Green 0 ; Yellow 3, Blue 1, Yellow 2, Green 6, Blue 7, Green 1, Red 1 ;Green 1;it is the same color as the tabled card
Yellow 5 ; Blue Skip, Blue Reverse, Red Reverse, Yellow 4, Yellow 0, Red 9, Yellow Draw 2 ;Yellow 4;it is the same color as the tabled card
Yellow 5 ; Blue Skip, Blue Reverse, Red Reverse, Yellow 4, Yellow 0, Red 9, Yellow Draw 2 ;Yellow 0;it is the same color as the tabled card
Yellow 5 ; Blue Skip, Blue Reverse, Red Reverse, Yellow 4, Yellow 0, Red 9, Yellow Draw 2 ;Yellow Draw 2;it is the same color as the tabled card
Green 1 ; Red 7, Wild Draw 4, Yellow 3, Blue 7, Red 8, Yellow 3, Blue 7 ;Wild Draw 4;Wild cards can be played on any colour
Red Draw 2 ; Wild Normal, Red Draw 2, Yellow 7, Green 5, Red 5, Green 5, Yellow 4 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Yellow 5 ; Red 7, Yellow 5, Yellow 9, Yellow 9, Red Reverse, Yellow Draw 2, Yellow 9 ;Yellow 5;it is the same color as the tabled card
Yellow 5 ; Red 7, Yellow 5, Yellow 9, Yellow 9, Red Reverse, Yellow Draw 2, Yellow 9 ;Yellow 9;it is the same color as the tabled card
Yellow 5 ; Red 7, Yellow 5, Yellow 9, Yellow 9, Red Reverse, Yellow Draw 2, Yellow 9 ;Yellow 9;it is the same color as the tabled card
Yellow 5 ; Red 7, Yellow 5, Yellow 9, Yellow 9, Red Reverse, Yellow Draw 2, Yellow 9 ;Yellow Draw 2;it is the same color as the tabled card
Yellow 5 ; Red 7, Yellow 5, Yellow 9, Yellow 9, Red Reverse, Yellow Draw 2, Yellow 9 ;Yellow 9;it is the same color as the tabled card
Wild Draw 4 ; Red Skip, Green 5, Red 2, Red 5, Red 9, Yellow Skip, Green Skip ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Wild Normal ; Green 2, Yellow Skip, Wild Draw 4, Red Reverse, Blue Reverse, Yellow Skip, Red Reverse ;Green 2;Any card can be played on a Wild Normal
Wild Normal ; Green 2, Yellow Skip, Wild Draw 4, Red Reverse, Blue Reverse, Yellow Skip, Red Reverse ;Yellow Skip;Any card can be played on a Wild Normal
Wild Normal ; Green 2, Yellow Skip, Wild Draw 4, Red Reverse, Blue Reverse, Yellow Skip, Red Reverse ;Wild Draw 4;Any card can be played on a Wild Normal
Wild Normal ; Green 2, Yellow Skip, Wild Draw 4, Red Reverse, Blue Reverse, Yellow Skip, Red Reverse ;Red Reverse;Any card can be played on a Wild Normal
Wild Normal ; Green 2, Yellow Skip, Wild Draw 4, Red Reverse, Blue Reverse, Yellow Skip, Red Reverse ;Blue Reverse;Any card can be played on a Wild Normal
Wild Normal ; Green 2, Yellow Skip, Wild Draw 4, Red Reverse, Blue Reverse, Yellow Skip, Red Reverse ;Yellow Skip;Any card can be played on a Wild Normal
Wild Normal ; Green 2, Yellow Skip, Wild Draw 4, Red Reverse, Blue Reverse, Yellow Skip, Red Reverse ;Red Reverse;Any card can be played on a Wild Normal
Yellow Skip ; Green 5, Blue 3, Wild Normal, Yellow 2, Blue 7, Blue 1, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Yellow Skip ; Green 5, Blue 3, Wild Normal, Yellow 2, Blue 7, Blue 1, Wild Normal ;Yellow 2;it is the same color as the tabled card
Yellow Skip ; Green 5, Blue 3, Wild Normal, Yellow 2, Blue 7, Blue 1, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Green Skip ; Green Reverse, Red Skip, Blue 3, Green 0, Yellow 8, Yellow 4, Wild Draw 4 ;Green Reverse;it is the same color as the tabled card
Green Skip ; Green Reverse, Red Skip, Blue 3, Green 0, Yellow 8, Yellow 4, Wild Draw 4 ;Red Skip;it is the same type as the tabled card
Green Skip ; Green Reverse, Red Skip, Blue 3, Green 0, Yellow 8, Yellow 4, Wild Draw 4 ;Green 0;it is the same color as the tabled card
Green Skip ; Green Reverse, Red Skip, Blue 3, Green 0, Yellow 8, Yellow 4, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Green Draw 2 ; Yellow Draw 2, Green 7, Yellow 9, Yellow 9, Wild Draw 4, Blue 2, Blue 2 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Wild Normal ; Blue 1, Blue Draw 2, Red 3, Green 1, Red 7, Blue 8, Yellow 6 ;Blue 1;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Draw 2, Red 3, Green 1, Red 7, Blue 8, Yellow 6 ;Blue Draw 2;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Draw 2, Red 3, Green 1, Red 7, Blue 8, Yellow 6 ;Red 3;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Draw 2, Red 3, Green 1, Red 7, Blue 8, Yellow 6 ;Green 1;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Draw 2, Red 3, Green 1, Red 7, Blue 8, Yellow 6 ;Red 7;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Draw 2, Red 3, Green 1, Red 7, Blue 8, Yellow 6 ;Blue 8;Any card can be played on a Wild Normal
Wild Normal ; Blue 1, Blue Draw 2, Red 3, Green 1, Red 7, Blue 8, Yellow 6 ;Yellow 6;Any card can be played on a Wild Normal
Yellow 9 ; Red Skip, Green 2, Green Skip, Blue 0, Blue 3, Yellow Reverse, Red 1 ;Yellow Reverse;it is the same color as the tabled card
Wild Draw 4 ; Blue 8, Blue 1, Green 7, Yellow 4, Blue 3, Yellow 0, Green Skip ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Green 6 ; Green Reverse, Wild Draw 4, Yellow 1, Red 5, Red 3, Red 2, Blue Skip ;Green Reverse;it is the same color as the tabled card
Green 6 ; Green Reverse, Wild Draw 4, Yellow 1, Red 5, Red 3, Red 2, Blue Skip ;Wild Draw 4;Wild cards can be played on any colour
Green 3 ; Red 5, Yellow 4, Red 2, Blue 5, Green Skip, Green Draw 2, Blue 9 ;Green Skip;it is the same color as the tabled card
Green 3 ; Red 5, Yellow 4, Red 2, Blue 5, Green Skip, Green Draw 2, Blue 9 ;Green Draw 2;it is the same color as the tabled card
Red 9 ; Wild Normal, Green 3, Yellow 0, Green Skip, Green 5, Red Draw 2, Red 3 ;Wild Normal;Wild cards can be played on any colour
Red 9 ; Wild Normal, Green 3, Yellow 0, Green Skip, Green 5, Red Draw 2, Red 3 ;Red Draw 2;it is the same color as the tabled card
Red 9 ; Wild Normal, Green 3, Yellow 0, Green Skip, Green 5, Red Draw 2, Red 3 ;Red 3;it is the same color as the tabled card
Yellow Skip ; Green Draw 2, Green 9, Blue 9, Blue 4, Yellow 2, Blue Draw 2, Blue Draw 2 ;Yellow 2;it is the same color as the tabled card
Red 3 ; Green 4, Yellow 2, Yellow Draw 2, Red Reverse, Red 7, Green 0, Red 1 ;Red Reverse;it is the same color as the tabled card
Red 3 ; Green 4, Yellow 2, Yellow Draw 2, Red Reverse, Red 7, Green 0, Red 1 ;Red 7;it is the same color as the tabled card
Red 3 ; Green 4, Yellow 2, Yellow Draw 2, Red Reverse, Red 7, Green 0, Red 1 ;Red 1;it is the same color as the tabled card
Yellow 1 ; Red Skip, Yellow 6, Blue 7, Wild Normal, Red 4, Yellow 4, Blue 3 ;Yellow 6;it is the same color as the tabled card
Yellow 1 ; Red Skip, Yellow 6, Blue 7, Wild Normal, Red 4, Yellow 4, Blue 3 ;Wild Normal;Wild cards can be played on any colour
Yellow 1 ; Red Skip, Yellow 6, Blue 7, Wild Normal, Red 4, Yellow 4, Blue 3 ;Yellow 4;it is the same color as the tabled card
Yellow 7 ; Yellow 4, Blue 9, Blue Reverse, Green 9, Blue 7, Yellow Draw 2, Red 9 ;Yellow 4;it is the same color as the tabled card
Yellow 7 ; Yellow 4, Blue 9, Blue Reverse, Green 9, Blue 7, Yellow Draw 2, Red 9 ;Blue 7;it is the same type as the tabled card
Yellow 7 ; Yellow 4, Blue 9, Blue Reverse, Green 9, Blue 7, Yellow Draw 2, Red 9 ;Yellow Draw 2;it is the same color as the tabled card
Blue 5 ; Red 0, Yellow 7, Blue 6, Blue 1, Yellow Reverse, Yellow 9, Yellow 5 ;Blue 6;it is the same color as the tabled card
Blue 5 ; Red 0, Yellow 7, Blue 6, Blue 1, Yellow Reverse, Yellow 9, Yellow 5 ;Blue 1;it is the same color as the tabled card
Blue 5 ; Red 0, Yellow 7, Blue 6, Blue 1, Yellow Reverse, Yellow 9, Yellow 5 ;Yellow 5;it is the same type as the tabled card
Yellow 3 ; Green 6, Green Reverse, Yellow Reverse, Yellow Draw 2, Yellow 1, Blue 2, Yellow 2 ;Yellow Reverse;it is the same color as the tabled card
Yellow 3 ; Green 6, Green Reverse, Yellow Reverse, Yellow Draw 2, Yellow 1, Blue 2, Yellow 2 ;Yellow Draw 2;it is the same color as the tabled card
Yellow 3 ; Green 6, Green Reverse, Yellow Reverse, Yellow Draw 2, Yellow 1, Blue 2, Yellow 2 ;Yellow 1;it is the same color as the tabled card
Yellow 3 ; Green 6, Green Reverse, Yellow Reverse, Yellow Draw 2, Yellow 1, Blue 2, Yellow 2 ;Yellow 2;it is the same color as the tabled card
Red 8 ; Yellow 7, Green 5, Green 1, Yellow 7, Yellow Skip, Green 9, Red 0 ;Red 0;it is the same color as the tabled card
Red 7 ; Green 2, Red 9, Blue 9, Yellow 3, Blue 6, Red 4, Yellow Draw 2 ;Red 9;it is the same color as the tabled card
Red 7 ; Green 2, Red 9, Blue 9, Yellow 3, Blue 6, Red 4, Yellow Draw 2 ;Red 4;it is the same color as the tabled card
Red Skip ; Green 9, Yellow 0, Red 5, Yellow 3, Red 9, Blue 3, Red 7 ;Red 5;it is the same color as the tabled card
Red Skip ; Green 9, Yellow 0, Red 5, Yellow 3, Red 9, Blue 3, Red 7 ;Red 9;it is the same color as the tabled card
Red Skip ; Green 9, Yellow 0, Red 5, Yellow 3, Red 9, Blue 3, Red 7 ;Red 7;it is the same color as the tabled card
Green Draw 2 ; Blue 9, Blue 8, Yellow Draw 2, Blue 2, Blue 5, Red 9, Blue 8 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue 3 ; Red 6, Green 3, Green Reverse, Red Skip, Green 6, Yellow Reverse, Blue Skip ;Green 3;it is the same type as the tabled card
Blue 3 ; Red 6, Green 3, Green Reverse, Red Skip, Green 6, Yellow Reverse, Blue Skip ;Blue Skip;it is the same color as the tabled card
Blue Skip ; Wild Draw 4, Green 4, Yellow 9, Blue 0, Green 6, Wild Normal, Yellow 3 ;Wild Draw 4;Wild cards can be played on any colour
Blue Skip ; Wild Draw 4, Green 4, Yellow 9, Blue 0, Green 6, Wild Normal, Yellow 3 ;Blue 0;it is the same color as the tabled card
Blue Skip ; Wild Draw 4, Green 4, Yellow 9, Blue 0, Green 6, Wild Normal, Yellow 3 ;Wild Normal;Wild cards can be played on any colour
Yellow Reverse ; Red 9, Green 5, Yellow 8, Red 2, Red Reverse, Green Draw 2, Blue Skip ;Yellow 8;it is the same color as the tabled card
Yellow Reverse ; Red 9, Green 5, Yellow 8, Red 2, Red Reverse, Green Draw 2, Blue Skip ;Red Reverse;it is the same type as the tabled card
Green 3 ; Green 6, Red Draw 2, Wild Normal, Wild Normal, Red 7, Green 2, Wild Normal ;Green 6;it is the same color as the tabled card
Green 3 ; Green 6, Red Draw 2, Wild Normal, Wild Normal, Red 7, Green 2, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Green 3 ; Green 6, Red Draw 2, Wild Normal, Wild Normal, Red 7, Green 2, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Green 3 ; Green 6, Red Draw 2, Wild Normal, Wild Normal, Red 7, Green 2, Wild Normal ;Green 2;it is the same color as the tabled card
Green 3 ; Green 6, Red Draw 2, Wild Normal, Wild Normal, Red 7, Green 2, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Blue Skip ; Yellow 1, Red 2, Green Draw 2, Red 1, Green 6, Green 4, Green Draw 2 ;Pick up 1 card;If there are no allowed moves you must pick up
Yellow 2 ; Green 9, Green Draw 2, Yellow 6, Yellow 6, Yellow 5, Wild Normal, Green 2 ;Yellow 6;it is the same color as the tabled card
Yellow 2 ; Green 9, Green Draw 2, Yellow 6, Yellow 6, Yellow 5, Wild Normal, Green 2 ;Yellow 6;it is the same color as the tabled card
Yellow 2 ; Green 9, Green Draw 2, Yellow 6, Yellow 6, Yellow 5, Wild Normal, Green 2 ;Yellow 5;it is the same color as the tabled card
Yellow 2 ; Green 9, Green Draw 2, Yellow 6, Yellow 6, Yellow 5, Wild Normal, Green 2 ;Wild Normal;Wild cards can be played on any colour
Yellow 2 ; Green 9, Green Draw 2, Yellow 6, Yellow 6, Yellow 5, Wild Normal, Green 2 ;Green 2;it is the same type as the tabled card
Yellow 1 ; Green 4, Red 5, Blue 8, Green 1, Yellow 9, Wild Draw 4, Red 3 ;Green 1;it is the same type as the tabled card
Yellow 1 ; Green 4, Red 5, Blue 8, Green 1, Yellow 9, Wild Draw 4, Red 3 ;Yellow 9;it is the same color as the tabled card
Yellow 1 ; Green 4, Red 5, Blue 8, Green 1, Yellow 9, Wild Draw 4, Red 3 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 8 ; Red Skip, Red 1, Blue 4, Blue 9, Yellow Skip, Green Reverse, Yellow 8 ;Yellow Skip;it is the same color as the tabled card
Yellow 8 ; Red Skip, Red 1, Blue 4, Blue 9, Yellow Skip, Green Reverse, Yellow 8 ;Yellow 8;it is the same color as the tabled card
Wild Normal ; Yellow 4, Yellow 1, Red 1, Blue 4, Red 5, Red Reverse, Wild Draw 4 ;Yellow 4;Any card can be played on a Wild Normal
Wild Normal ; Yellow 4, Yellow 1, Red 1, Blue 4, Red 5, Red Reverse, Wild Draw 4 ;Yellow 1;Any card can be played on a Wild Normal
Wild Normal ; Yellow 4, Yellow 1, Red 1, Blue 4, Red 5, Red Reverse, Wild Draw 4 ;Red 1;Any card can be played on a Wild Normal
Wild Normal ; Yellow 4, Yellow 1, Red 1, Blue 4, Red 5, Red Reverse, Wild Draw 4 ;Blue 4;Any card can be played on a Wild Normal
Wild Normal ; Yellow 4, Yellow 1, Red 1, Blue 4, Red 5, Red Reverse, Wild Draw 4 ;Red 5;Any card can be played on a Wild Normal
Wild Normal ; Yellow 4, Yellow 1, Red 1, Blue 4, Red 5, Red Reverse, Wild Draw 4 ;Red Reverse;Any card can be played on a Wild Normal
Wild Normal ; Yellow 4, Yellow 1, Red 1, Blue 4, Red 5, Red Reverse, Wild Draw 4 ;Wild Draw 4;Any card can be played on a Wild Normal
Yellow 6 ; Blue Reverse, Yellow 6, Red 5, Yellow 9, Yellow 7, Blue Draw 2, Green Draw 2 ;Yellow 6;it is the same color as the tabled card
Yellow 6 ; Blue Reverse, Yellow 6, Red 5, Yellow 9, Yellow 7, Blue Draw 2, Green Draw 2 ;Yellow 9;it is the same color as the tabled card
Yellow 6 ; Blue Reverse, Yellow 6, Red 5, Yellow 9, Yellow 7, Blue Draw 2, Green Draw 2 ;Yellow 7;it is the same color as the tabled card
Yellow Skip ; Red 8, Wild Draw 4, Yellow 3, Blue 1, Green 5, Green 7, Red 2 ;Wild Draw 4;Wild cards can be played on any colour
Yellow Skip ; Red 8, Wild Draw 4, Yellow 3, Blue 1, Green 5, Green 7, Red 2 ;Yellow 3;it is the same color as the tabled card
Green 9 ; Red 9, Blue Skip, Red 7, Yellow 7, Yellow 7, Blue 5, Blue 8 ;Red 9;it is the same type as the tabled card
Red 9 ; Red 3, Blue Skip, Wild Normal, Red 6, Blue 6, Green Draw 2, Blue Skip ;Red 3;it is the same color as the tabled card
Red 9 ; Red 3, Blue Skip, Wild Normal, Red 6, Blue 6, Green Draw 2, Blue Skip ;Wild Normal;Wild cards can be played on any colour
Red 9 ; Red 3, Blue Skip, Wild Normal, Red 6, Blue 6, Green Draw 2, Blue Skip ;Red 6;it is the same color as the tabled card
Green 7 ; Green Reverse, Red Draw 2, Yellow 4, Blue 8, Red Draw 2, Yellow 3, Yellow 0 ;Green Reverse;it is the same color as the tabled card
Blue 5 ; Red Draw 2, Red 9, Blue 2, Blue 5, Blue 3, Yellow 6, Blue 1 ;Blue 2;it is the same color as the tabled card
Blue 5 ; Red Draw 2, Red 9, Blue 2, Blue 5, Blue 3, Yellow 6, Blue 1 ;Blue 5;it is the same color as the tabled card
Blue 5 ; Red Draw 2, Red 9, Blue 2, Blue 5, Blue 3, Yellow 6, Blue 1 ;Blue 3;it is the same color as the tabled card
Blue 5 ; Red Draw 2, Red 9, Blue 2, Blue 5, Blue 3, Yellow 6, Blue 1 ;Blue 1;it is the same color as the tabled card
Blue 7 ; Green 5, Wild Draw 4, Yellow 0, Red 1, Green Skip, Yellow 3, Wild Normal ;Wild Draw 4;Wild cards can be played on any colour
Blue 7 ; Green 5, Wild Draw 4, Yellow 0, Red 1, Green Skip, Yellow 3, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Yellow Reverse ; Green 0, Wild Normal, Yellow 6, Green 3, Blue Draw 2, Green 9, Yellow 4 ;Wild Normal;Wild cards can be played on any colour
Yellow Reverse ; Green 0, Wild Normal, Yellow 6, Green 3, Blue Draw 2, Green 9, Yellow 4 ;Yellow 6;it is the same color as the tabled card
Yellow Reverse ; Green 0, Wild Normal, Yellow 6, Green 3, Blue Draw 2, Green 9, Yellow 4 ;Yellow 4;it is the same color as the tabled card
Green 8 ; Green Draw 2, Blue 5, Blue 8, Red 2, Blue 2, Wild Normal, Blue 1 ;Green Draw 2;it is the same color as the tabled card
Green 8 ; Green Draw 2, Blue 5, Blue 8, Red 2, Blue 2, Wild Normal, Blue 1 ;Blue 8;it is the same type as the tabled card
Green 8 ; Green Draw 2, Blue 5, Blue 8, Red 2, Blue 2, Wild Normal, Blue 1 ;Wild Normal;Wild cards can be played on any colour
Yellow 4 ; Blue Draw 2, Red Skip, Red 5, Blue 3, Yellow 2, Red 1, Blue 7 ;Yellow 2;it is the same color as the tabled card
Green 7 ; Yellow 0, Red 9, Green 7, Yellow 1, Red 7, Red 4, Yellow 6 ;Green 7;it is the same color as the tabled card
Green 7 ; Yellow 0, Red 9, Green 7, Yellow 1, Red 7, Red 4, Yellow 6 ;Red 7;it is the same type as the tabled card
Red 3 ; Yellow 9, Wild Draw 4, Red 5, Red Reverse, Green 3, Yellow 3, Yellow Reverse ;Wild Draw 4;Wild cards can be played on any colour
Red 3 ; Yellow 9, Wild Draw 4, Red 5, Red Reverse, Green 3, Yellow 3, Yellow Reverse ;Red 5;it is the same color as the tabled card
Red 3 ; Yellow 9, Wild Draw 4, Red 5, Red Reverse, Green 3, Yellow 3, Yellow Reverse ;Red Reverse;it is the same color as the tabled card
Red 3 ; Yellow 9, Wild Draw 4, Red 5, Red Reverse, Green 3, Yellow 3, Yellow Reverse ;Green 3;it is the same type as the tabled card
Red 3 ; Yellow 9, Wild Draw 4, Red 5, Red Reverse, Green 3, Yellow 3, Yellow Reverse ;Yellow 3;it is the same type as the tabled card
Blue 3 ; Blue 9, Red Reverse, Blue 3, Yellow Skip, Yellow 5, Green 6, Green 1 ;Blue 9;it is the same color as the tabled card
Blue 3 ; Blue 9, Red Reverse, Blue 3, Yellow Skip, Yellow 5, Green 6, Green 1 ;Blue 3;it is the same color as the tabled card
Blue 9 ; Yellow 1, Green 9, Yellow 6, Yellow Reverse, Green 6, Red 9, Green 1 ;Green 9;it is the same type as the tabled card
Blue 9 ; Yellow 1, Green 9, Yellow 6, Yellow Reverse, Green 6, Red 9, Green 1 ;Red 9;it is the same type as the tabled card
Yellow Draw 2 ; Red 5, Red Reverse, Red Skip, Green Skip, Red Skip, Red Reverse, Yellow 6 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Yellow 6 ; Yellow 5, Wild Draw 4, Green 1, Red 2, Blue Reverse, Yellow Reverse, Yellow 4 ;Yellow 5;it is the same color as the tabled card
Yellow 6 ; Yellow 5, Wild Draw 4, Green 1, Red 2, Blue Reverse, Yellow Reverse, Yellow 4 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 6 ; Yellow 5, Wild Draw 4, Green 1, Red 2, Blue Reverse, Yellow Reverse, Yellow 4 ;Yellow Reverse;it is the same color as the tabled card
Yellow 6 ; Yellow 5, Wild Draw 4, Green 1, Red 2, Blue Reverse, Yellow Reverse, Yellow 4 ;Yellow 4;it is the same color as the tabled card
Blue 2 ; Red Reverse, Yellow 1, Green 9, Wild Draw 4, Green 1, Red 3, Blue 1 ;Wild Draw 4;Wild cards can be played on any colour
Blue 2 ; Red Reverse, Yellow 1, Green 9, Wild Draw 4, Green 1, Red 3, Blue 1 ;Blue 1;it is the same color as the tabled card
Green Draw 2 ; Wild Draw 4, Blue 3, Red 5, Blue Draw 2, Blue 1, Blue 2, Yellow 3 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Wild Draw 4 ; Blue 8, Red 6, Yellow 5, Red 5, Blue 3, Blue 7, Green Skip ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Green Draw 2 ; Blue 1, Yellow 2, Blue Reverse, Red 0, Blue Skip, Wild Normal, Blue 1 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue Draw 2 ; Green 8, Yellow 9, Green Reverse, Yellow 9, Green Draw 2, Yellow 4, Green 4 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Yellow 2 ; Blue 1, Blue 3, Wild Normal, Yellow Reverse, Green 6, Green Draw 2, Green 8 ;Wild Normal;Wild cards can be played on any colour
Yellow 2 ; Blue 1, Blue 3, Wild Normal, Yellow Reverse, Green 6, Green Draw 2, Green 8 ;Yellow Reverse;it is the same color as the tabled card
Blue 6 ; Blue 8, Yellow 2, Yellow 4, Blue 9, Red Reverse, Green 7, Blue 8 ;Blue 8;it is the same color as the tabled card
Blue 6 ; Blue 8, Yellow 2, Yellow 4, Blue 9, Red Reverse, Green 7, Blue 8 ;Blue 9;it is the same color as the tabled card
Blue 6 ; Blue 8, Yellow 2, Yellow 4, Blue 9, Red Reverse, Green 7, Blue 8 ;Blue 8;it is the same color as the tabled card
Yellow 3 ; Blue 3, Yellow 5, Red 7, Wild Draw 4, Red 4, Blue 2, Green 1 ;Blue 3;it is the same type as the tabled card
Yellow 3 ; Blue 3, Yellow 5, Red 7, Wild Draw 4, Red 4, Blue 2, Green 1 ;Yellow 5;it is the same color as the tabled card
Yellow 3 ; Blue 3, Yellow 5, Red 7, Wild Draw 4, Red 4, Blue 2, Green 1 ;Wild Draw 4;Wild cards can be played on any colour
Blue 3 ; Red Draw 2, Blue 7, Blue 8, Blue Skip, Yellow Draw 2, Red Skip, Yellow 2 ;Blue 7;it is the same color as the tabled card
Blue 3 ; Red Draw 2, Blue 7, Blue 8, Blue Skip, Yellow Draw 2, Red Skip, Yellow 2 ;Blue 8;it is the same color as the tabled card
Blue 3 ; Red Draw 2, Blue 7, Blue 8, Blue Skip, Yellow Draw 2, Red Skip, Yellow 2 ;Blue Skip;it is the same color as the tabled card
Green Draw 2 ; Red 8, Blue 5, Yellow 4, Green 8, Blue 1, Red Reverse, Green 0 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Wild Normal ; Red 6, Red 1, Green 8, Yellow Draw 2, Blue 4, Green 4, Red 4 ;Red 6;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Red 1, Green 8, Yellow Draw 2, Blue 4, Green 4, Red 4 ;Red 1;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Red 1, Green 8, Yellow Draw 2, Blue 4, Green 4, Red 4 ;Green 8;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Red 1, Green 8, Yellow Draw 2, Blue 4, Green 4, Red 4 ;Yellow Draw 2;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Red 1, Green 8, Yellow Draw 2, Blue 4, Green 4, Red 4 ;Blue 4;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Red 1, Green 8, Yellow Draw 2, Blue 4, Green 4, Red 4 ;Green 4;Any card can be played on a Wild Normal
Wild Normal ; Red 6, Red 1, Green 8, Yellow Draw 2, Blue 4, Green 4, Red 4 ;Red 4;Any card can be played on a Wild Normal
Blue 4 ; Green 3, Yellow 3, Yellow 4, Red Draw 2, Yellow 6, Blue 5, Yellow 1 ;Yellow 4;it is the same type as the tabled card
Blue 4 ; Green 3, Yellow 3, Yellow 4, Red Draw 2, Yellow 6, Blue 5, Yellow 1 ;Blue 5;it is the same color as the tabled card
Wild Normal ; Blue 8, Green 2, Yellow 0, Blue Skip, Yellow 4, Green Reverse, Red Reverse ;Blue 8;Any card can be played on a Wild Normal
Wild Normal ; Blue 8, Green 2, Yellow 0, Blue Skip, Yellow 4, Green Reverse, Red Reverse ;Green 2;Any card can be played on a Wild Normal
Wild Normal ; Blue 8, Green 2, Yellow 0, Blue Skip, Yellow 4, Green Reverse, Red Reverse ;Yellow 0;Any card can be played on a Wild Normal
Wild Normal ; Blue 8, Green 2, Yellow 0, Blue Skip, Yellow 4, Green Reverse, Red Reverse ;Blue Skip;Any card can be played on a Wild Normal
Wild Normal ; Blue 8, Green 2, Yellow 0, Blue Skip, Yellow 4, Green Reverse, Red Reverse ;Yellow 4;Any card can be played on a Wild Normal
Wild Normal ; Blue 8, Green 2, Yellow 0, Blue Skip, Yellow 4, Green Reverse, Red Reverse ;Green Reverse;Any card can be played on a Wild Normal
Wild Normal ; Blue 8, Green 2, Yellow 0, Blue Skip, Yellow 4, Green Reverse, Red Reverse ;Red Reverse;Any card can be played on a Wild Normal
Blue Skip ; Yellow 5, Green 8, Green 8, Red Skip, Yellow Skip, Yellow 3, Red 3 ;Red Skip;it is the same type as the tabled card
Blue Skip ; Yellow 5, Green 8, Green 8, Red Skip, Yellow Skip, Yellow 3, Red 3 ;Yellow Skip;it is the same type as the tabled card
Yellow 1 ; Red 5, Red 5, Green Reverse, Yellow 0, Red 3, Green Skip, Blue Reverse ;Yellow 0;it is the same color as the tabled card
Yellow 8 ; Yellow 8, Blue 2, Yellow 5, Blue 6, Blue 3, Red Reverse, Wild Normal ;Yellow 8;it is the same color as the tabled card
Yellow 8 ; Yellow 8, Blue 2, Yellow 5, Blue 6, Blue 3, Red Reverse, Wild Normal ;Yellow 5;it is the same color as the tabled card
Yellow 8 ; Yellow 8, Blue 2, Yellow 5, Blue 6, Blue 3, Red Reverse, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Red 8 ; Green Draw 2, Red 1, Wild Normal, Red 3, Red Reverse, Yellow 9, Yellow 8 ;Red 1;it is the same color as the tabled card
Red 8 ; Green Draw 2, Red 1, Wild Normal, Red 3, Red Reverse, Yellow 9, Yellow 8 ;Wild Normal;Wild cards can be played on any colour
