Card on the Table:,Cards in Hand:,Possible Move:,Applicable rule:
Wild Normal,"Wild Draw 4, Green 9, Red Draw 2, Blue 8, Red 5, Red Reverse, Red 6",Wild Draw 4,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Green 9, Red Draw 2, Blue 8, Red 5, Red Reverse, Red 6",Green 9,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Green 9, Red Draw 2, Blue 8, Red 5, Red Reverse, Red 6",Red Draw 2,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Green 9, Red Draw 2, Blue 8, Red 5, Red Reverse, Red 6",Blue 8,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Green 9, Red Draw 2, Blue 8, Red 5, Red Reverse, Red 6",Red 5,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Green 9, Red Draw 2, Blue 8, Red 5, Red Reverse, Red 6",Red Reverse,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Green 9, Red Draw 2, Blue 8, Red 5, Red Reverse, Red 6",Red 6,Any card can be played on a Wild Normal
Red 8,"Red 1, Red Draw 2, Yellow 6, Wild Normal, Red Skip, Yellow 1, Red 6",Red 1,it is the same color as the tabled card
Red 8,"Red 1, Red Draw 2, Yellow 6, Wild Normal, Red Skip, Yellow 1, Red 6",Red Draw 2,it is the same color as the tabled card
Red 8,"Red 1, Red Draw 2, Yellow 6, Wild Normal, Red Skip, Yellow 1, Red 6",Wild Normal,Wild cards can be played on any colour
Red 8,"Red 1, Red Draw 2, Yellow 6, Wild Normal, Red Skip, Yellow 1, Red 6",Red Skip,it is the same color as the tabled card
Red 8,"Red 1, Red Draw 2, Yellow 6, Wild Normal, Red Skip, Yellow 1, Red 6",Red 6,it is the same color as the tabled card
Green 6,"Green 5, Yellow 9, Blue 2, Red 2, Yellow 1, Yellow 5, Green 2",Green 5,it is the same color as the tabled card
Green 6,"Green 5, Yellow 9, Blue 2, Red 2, Yellow 1, Yellow 5, Green 2",Green 2,it is the same color as the tabled card
Blue 8,"Blue 7, Red Skip, Green Skip, Green Reverse, Red 8, Green 3, Red 1",Blue 7,it is the same color as the tabled card
Blue 8,"Blue 7, Red Skip, Green Skip, Green Reverse, Red 8, Green 3, Red 1",Red 8,Wild cards can be played on any colour
Green 3,"Yellow 1, Green 5, Blue 1, Red 4, Green Skip, Red 4, Red 3",Green 5,it is the same color as the tabled card
Green 3,"Yellow 1, Green 5, Blue 1, Red 4, Green Skip, Red 4, Red 3",Green Skip,it is the same color as the tabled card
Green 3,"Yellow 1, Green 5, Blue 1, Red 4, Green Skip, Red 4, Red 3",Red 3,Wild cards can be played on any colour
Blue Reverse,"Green 7, Blue 9, Red 1, Green 9, Green 6, Green Reverse, Yellow Skip",Blue 9,it is the same color as the tabled card
Blue Reverse,"Green 7, Blue 9, Red 1, Green 9, Green 6, Green Reverse, Yellow Skip",Green Reverse,Wild cards can be played on any colour
Green 6,"Blue 5, Green 1, Red 0, Red 1, Red Skip, Blue 4, Yellow Draw 2",Green 1,it is the same color as the tabled card
Red 2,"Blue 2, Red 8, Red 5, Green Skip, Green Draw 2, Green 0, Green 9",Blue 2,Wild cards can be played on any colour
Red 2,"Blue 2, Red 8, Red 5, Green Skip, Green Draw 2, Green 0, Green 9",Red 8,it is the same color as the tabled card
Red 2,"Blue 2, Red 8, Red 5, Green Skip, Green Draw 2, Green 0, Green 9",Red 5,it is the same color as the tabled card
Blue 3,"Red 1, Yellow Draw 2, Red 9, Green 5, Yellow 7, Yellow 1, Yellow 8",Pick up 1 card,If there are no allowed moves you must pick up
Green 7,"Green 0, Yellow 9, Red 9, Red 6, Yellow 7, Blue 2, Wild Normal",Green 0,it is the same color as the tabled card
Green 7,"Green 0, Yellow 9, Red 9, Red 6, Yellow 7, Blue 2, Wild Normal",Yellow 7,Wild cards can be played on any colour
Green 7,"Green 0, Yellow 9, Red 9, Red 6, Yellow 7, Blue 2, Wild Normal",Wild Normal,Wild cards can be played on any colour
Blue Draw 2,"Green Draw 2, Blue Draw 2, Red 2, Wild Normal, Blue 9, Red 4, Blue 4",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Yellow 8,"Red 1, Green Reverse, Blue 0, Yellow 6, Red 1, Blue 1, Blue 3",Yellow 6,it is the same color as the tabled card
Yellow Draw 2,"Yellow Skip, Blue Draw 2, Red Reverse, Yellow 6, Green 5, Blue 7, Red 7",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Green 8,"Green 8, Red 6, Wild Draw 4, Green 1, Yellow 8, Yellow Draw 2, Wild Draw 4",Green 8,it is the same color as the tabled card
Green 8,"Green 8, Red 6, Wild Draw 4, Green 1, Yellow 8, Yellow Draw 2, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Green 8,"Green 8, Red 6, Wild Draw 4, Green 1, Yellow 8, Yellow Draw 2, Wild Draw 4",Green 1,it is the same color as the tabled card
Green 8,"Green 8, Red 6, Wild Draw 4, Green 1, Yellow 8, Yellow Draw 2, Wild Draw 4",Yellow 8,Wild cards can be played on any colour
Green 8,"Green 8, Red 6, Wild Draw 4, Green 1, Yellow 8, Yellow Draw 2, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Yellow 2,"Green 5, Yellow 8, Green 1, Green 0, Blue Draw 2, Yellow 4, Yellow 9",Yellow 8,it is the same color as the tabled card
Yellow 2,"Green 5, Yellow 8, Green 1, Green 0, Blue Draw 2, Yellow 4, Yellow 9",Yellow 4,it is the same color as the tabled card
Yellow 2,"Green 5, Yellow 8, Green 1, Green 0, Blue Draw 2, Yellow 4, Yellow 9",Yellow 9,it is the same color as the tabled card
Green Draw 2,"Yellow Draw 2, Yellow 1, Green 9, Yellow 3, Red Draw 2, Green 3, Green 2",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Yellow Skip,"Blue 0, Green 2, Yellow 5, Yellow 7, Wild Normal, Yellow 1, Yellow 1",Yellow 5,it is the same color as the tabled card
Yellow Skip,"Blue 0, Green 2, Yellow 5, Yellow 7, Wild Normal, Yellow 1, Yellow 1",Yellow 7,it is the same color as the tabled card
Yellow Skip,"Blue 0, Green 2, Yellow 5, Yellow 7, Wild Normal, Yellow 1, Yellow 1",Wild Normal,Wild cards can be played on any colour
Yellow Skip,"Blue 0, Green 2, Yellow 5, Yellow 7, Wild Normal, Yellow 1, Yellow 1",Yellow 1,it is the same color as the tabled card
Yellow Skip,"Blue 0, Green 2, Yellow 5, Yellow 7, Wild Normal, Yellow 1, Yellow 1",Yellow 1,it is the same color as the tabled card
Yellow Draw 2,"Blue 7, Green 0, Green Reverse, Blue 0, Blue Draw 2, Red 1, Yellow 2",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Yellow 9,"Yellow 2, Wild Normal, Yellow 1, Red 7, Red 4, Green 4, Green 3",Yellow 2,it is the same color as the tabled card
Yellow 9,"Yellow 2, Wild Normal, Yellow 1, Red 7, Red 4, Green 4, Green 3",Wild Normal,Wild cards can be played on any colour
Yellow 9,"Yellow 2, Wild Normal, Yellow 1, Red 7, Red 4, Green 4, Green 3",Yellow 1,it is the same color as the tabled card
Green Reverse,"Yellow 7, Red Skip, Green 2, Blue 4, Blue 5, Red 7, Yellow 1",Green 2,it is the same color as the tabled card
Green 5,"Yellow Reverse, Red Reverse, Blue 1, Green 4, Red 5, Blue 8, Yellow Skip",Green 4,it is the same color as the tabled card
Green 5,"Yellow Reverse, Red Reverse, Blue 1, Green 4, Red 5, Blue 8, Yellow Skip",Red 5,Wild cards can be played on any colour
Wild Normal,"Red 2, Red Draw 2, Yellow 4, Red Draw 2, Red Skip, Green 8, Blue 7",Red 2,Any card can be played on a Wild Normal
Wild Normal,"Red 2, Red Draw 2, Yellow 4, Red Draw 2, Red Skip, Green 8, Blue 7",Red Draw 2,Any card can be played on a Wild Normal
Wild Normal,"Red 2, Red Draw 2, Yellow 4, Red Draw 2, Red Skip, Green 8, Blue 7",Yellow 4,Any card can be played on a Wild Normal
Wild Normal,"Red 2, Red Draw 2, Yellow 4, Red Draw 2, Red Skip, Green 8, Blue 7",Red Draw 2,Any card can be played on a Wild Normal
Wild Normal,"Red 2, Red Draw 2, Yellow 4, Red Draw 2, Red Skip, Green 8, Blue 7",Red Skip,Any card can be played on a Wild Normal
Wild Normal,"Red 2, Red Draw 2, Yellow 4, Red Draw 2, Red Skip, Green 8, Blue 7",Green 8,Any card can be played on a Wild Normal
Wild Normal,"Red 2, Red Draw 2, Yellow 4, Red Draw 2, Red Skip, Green 8, Blue 7",Blue 7,Any card can be played on a Wild Normal
Green 9,"Yellow 1, Red 2, Wild Normal, Yellow 2, Red 3, Yellow Draw 2, Red 4",Wild Normal,Wild cards can be played on any colour
Green 4,"Green 1, Yellow 7, Yellow 1, Yellow 5, Green Draw 2, Blue 4, Blue 8",Green 1,it is the same color as the tabled card
Green 4,"Green 1, Yellow 7, Yellow 1, Yellow 5, Green Draw 2, Blue 4, Blue 8",Green Draw 2,it is the same color as the tabled card
Green 4,"Green 1, Yellow 7, Yellow 1, Yellow 5, Green Draw 2, Blue 4, Blue 8",Blue 4,Wild cards can be played on any colour
Blue Reverse,"Blue 8, Blue Reverse, Red 4, Blue 1, Blue Reverse, Red 8, Blue Skip",Blue 8,it is the same color as the tabled card
Blue Reverse,"Blue 8, Blue Reverse, Red 4, Blue 1, Blue Reverse, Red 8, Blue Skip",Blue Reverse,it is the same color as the tabled card
Blue Reverse,"Blue 8, Blue Reverse, Red 4, Blue 1, Blue Reverse, Red 8, Blue Skip",Blue 1,it is the same color as the tabled card
Blue Reverse,"Blue 8, Blue Reverse, Red 4, Blue 1, Blue Reverse, Red 8, Blue Skip",Blue Reverse,it is the same color as the tabled card
Blue Reverse,"Blue 8, Blue Reverse, Red 4, Blue 1, Blue Reverse, Red 8, Blue Skip",Blue Skip,it is the same color as the tabled card
Blue Draw 2,"Wild Draw 4, Green 2, Green 4, Blue Skip, Blue Reverse, Green 4, Yellow 1",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Yellow Skip,"Red 4, Yellow 0, Green Draw 2, Yellow Skip, Green 4, Green 3, Wild Normal",Yellow 0,it is the same color as the tabled card
Yellow Skip,"Red 4, Yellow 0, Green Draw 2, Yellow Skip, Green 4, Green 3, Wild Normal",Yellow Skip,it is the same color as the tabled card
Yellow Skip,"Red 4, Yellow 0, Green Draw 2, Yellow Skip, Green 4, Green 3, Wild Normal",Wild Normal,Wild cards can be played on any colour
Blue 2,"Blue 5, Blue 1, Yellow Skip, Red 7, Blue 3, Yellow 7, Blue 1",Blue 5,it is the same color as the tabled card
Blue 2,"Blue 5, Blue 1, Yellow Skip, Red 7, Blue 3, Yellow 7, Blue 1",Blue 1,it is the same color as the tabled card
Blue 2,"Blue 5, Blue 1, Yellow Skip, Red 7, Blue 3, Yellow 7, Blue 1",Blue 3,it is the same color as the tabled card
Blue 2,"Blue 5, Blue 1, Yellow Skip, Red 7, Blue 3, Yellow 7, Blue 1",Blue 1,it is the same color as the tabled card
Yellow 1,"Yellow 4, Yellow 8, Red 3, Yellow 5, Blue 6, Yellow 3, Yellow 5",Yellow 4,it is the same color as the tabled card
Yellow 1,"Yellow 4, Yellow 8, Red 3, Yellow 5, Blue 6, Yellow 3, Yellow 5",Yellow 8,it is the same color as the tabled card
Yellow 1,"Yellow 4, Yellow 8, Red 3, Yellow 5, Blue 6, Yellow 3, Yellow 5",Yellow 5,it is the same color as the tabled card
Yellow 1,"Yellow 4, Yellow 8, Red 3, Yellow 5, Blue 6, Yellow 3, Yellow 5",Yellow 3,it is the same color as the tabled card
Yellow 1,"Yellow 4, Yellow 8, Red 3, Yellow 5, Blue 6, Yellow 3, Yellow 5",Yellow 5,it is the same color as the tabled card
Wild Normal,"Blue Draw 2, Green 9, Green 1, Red 1, Red Reverse, Green 8, Yellow Reverse",Blue Draw 2,Any card can be played on a Wild Normal
Wild Normal,"Blue Draw 2, Green 9, Green 1, Red 1, Red Reverse, Green 8, Yellow Reverse",Green 9,Any card can be played on a Wild Normal
Wild Normal,"Blue Draw 2, Green 9, Green 1, Red 1, Red Reverse, Green 8, Yellow Reverse",Green 1,Any card can be played on a Wild Normal
Wild Normal,"Blue Draw 2, Green 9, Green 1, Red 1, Red Reverse, Green 8, Yellow Reverse",Red 1,Any card can be played on a Wild Normal
Wild Normal,"Blue Draw 2, Green 9, Green 1, Red 1, Red Reverse, Green 8, Yellow Reverse",Red Reverse,Any card can be played on a Wild Normal
Wild Normal,"Blue Draw 2, Green 9, Green 1, Red 1, Red Reverse, Green 8, Yellow Reverse",Green 8,Any card can be played on a Wild Normal
Wild Normal,"Blue Draw 2, Green 9, Green 1, Red 1, Red Reverse, Green 8, Yellow Reverse",Yellow Reverse,Any card can be played on a Wild Normal
Yellow Reverse,"Yellow 1, Wild Draw 4, Red 2, Red 4, Green 9, Yellow Reverse, Wild Normal",Yellow 1,it is the same color as the tabled card
Yellow Reverse,"Yellow 1, Wild Draw 4, Red 2, Red 4, Green 9, Yellow Reverse, Wild Normal",Wild Draw 4,Wild cards can be played on any colour
Yellow Reverse,"Yellow 1, Wild Draw 4, Red 2, Red 4, Green 9, Yellow Reverse, Wild Normal",Yellow Reverse,it is the same color as the tabled card
Yellow Reverse,"Yellow 1, Wild Draw 4, Red 2, Red 4, Green 9, Yellow Reverse, Wild Normal",Wild Normal,Wild cards can be played on any colour
Blue 9,"Yellow 7, Green 3, Wild Draw 4, Green 5, Red Reverse, Green 2, Red Skip",Wild Draw 4,Wild cards can be played on any colour
Yellow 2,"Green 0, Blue 9, Green Skip, Blue 5, Green 7, Red 0, Red 7",Pick up 1 card,If there are no allowed moves you must pick up
Wild Normal,"Red 4, Red 8, Yellow 3, Blue Draw 2, Wild Normal, Yellow 4, Yellow Draw 2",Red 4,Any card can be played on a Wild Normal
Wild Normal,"Red 4, Red 8, Yellow 3, Blue Draw 2, Wild Normal, Yellow 4, Yellow Draw 2",Red 8,Any card can be played on a Wild Normal
Wild Normal,"Red 4, Red 8, Yellow 3, Blue Draw 2, Wild Normal, Yellow 4, Yellow Draw 2",Yellow 3,Any card can be played on a Wild Normal
Wild Normal,"Red 4, Red 8, Yellow 3, Blue Draw 2, Wild Normal, Yellow 4, Yellow Draw 2",Blue Draw 2,Any card can be played on a Wild Normal
Wild Normal,"Red 4, Red 8, Yellow 3, Blue Draw 2, Wild Normal, Yellow 4, Yellow Draw 2",Wild Normal,Any card can be played on a Wild Normal
Wild Normal,"Red 4, Red 8, Yellow 3, Blue Draw 2, Wild Normal, Yellow 4, Yellow Draw 2",Yellow 4,Any card can be played on a Wild Normal
Wild Normal,"Red 4, Red 8, Yellow 3, Blue Draw 2, Wild Normal, Yellow 4, Yellow Draw 2",Yellow Draw 2,Any card can be played on a Wild Normal
Yellow 8,"Blue Skip, Wild Normal, Green 5, Blue 5, Blue 4, Green 3, Blue 9",Wild Normal,Wild cards can be played on any colour
Blue 6,"Wild Draw 4, Yellow 9, Green 1, Green 0, Yellow 7, Green Draw 2, Yellow Skip",Wild Draw 4,Wild cards can be played on any colour
Green 2,"Yellow Skip, Red 8, Red 1, Green Reverse, Wild Draw 4, Yellow 4, Red 6",Green Reverse,it is the same color as the tabled card
Green 2,"Yellow Skip, Red 8, Red 1, Green Reverse, Wild Draw 4, Yellow 4, Red 6",Wild Draw 4,Wild cards can be played on any colour
Green Skip,"Green 1, Blue 5, Wild Draw 4, Yellow 7, Blue 0, Red 8, Blue 1",Green 1,it is the same color as the tabled card
Green Skip,"Green 1, Blue 5, Wild Draw 4, Yellow 7, Blue 0, Red 8, Blue 1",Wild Draw 4,Wild cards can be played on any colour
Green Draw 2,"Blue 6, Blue 5, Green Skip, Red 2, Green 7, Blue 5, Red 0",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Green 7,"Red Skip, Yellow 1, Blue 4, Yellow Reverse, Green 8, Wild Draw 4, Green 9",Green 8,it is the same color as the tabled card
Green 7,"Red Skip, Yellow 1, Blue 4, Yellow Reverse, Green 8, Wild Draw 4, Green 9",Wild Draw 4,Wild cards can be played on any colour
Green 7,"Red Skip, Yellow 1, Blue 4, Yellow Reverse, Green 8, Wild Draw 4, Green 9",Green 9,it is the same color as the tabled card
Green 1,"Green 7, Blue 1, Wild Normal, Blue 0, Green 8, Blue Skip, Blue 3",Green 7,it is the same color as the tabled card
Green 1,"Green 7, Blue 1, Wild Normal, Blue 0, Green 8, Blue Skip, Blue 3",Blue 1,Wild cards can be played on any colour
Green 1,"Green 7, Blue 1, Wild Normal, Blue 0, Green 8, Blue Skip, Blue 3",Wild Normal,Wild cards can be played on any colour
Green 1,"Green 7, Blue 1, Wild Normal, Blue 0, Green 8, Blue Skip, Blue 3",Green 8,it is the same color as the tabled card
Yellow 3,"Green Draw 2, Wild Draw 4, Red 2, Wild Draw 4, Green Reverse, Blue 6, Yellow 1",Wild Draw 4,Wild cards can be played on any colour
Yellow 3,"Green Draw 2, Wild Draw 4, Red 2, Wild Draw 4, Green Reverse, Blue 6, Yellow 1",Wild Draw 4,Wild cards can be played on any colour
Yellow 3,"Green Draw 2, Wild Draw 4, Red 2, Wild Draw 4, Green Reverse, Blue 6, Yellow 1",Yellow 1,it is the same color as the tabled card
Yellow 6,"Green 4, Blue 4, Green Reverse, Blue 8, Yellow 6, Red 1, Green 6",Yellow 6,it is the same color as the tabled card
Yellow 6,"Green 4, Blue 4, Green Reverse, Blue 8, Yellow 6, Red 1, Green 6",Green 6,Wild cards can be played on any colour
Green 0,"Green 9, Yellow 9, Yellow 5, Blue 5, Red 6, Red 9, Red 9",Green 9,it is the same color as the tabled card
Yellow Reverse,"Green Draw 2, Blue 7, Red Skip, Yellow 4, Green 9, Yellow Draw 2, Blue 3",Yellow 4,it is the same color as the tabled card
Yellow Reverse,"Green Draw 2, Blue 7, Red Skip, Yellow 4, Green 9, Yellow Draw 2, Blue 3",Yellow Draw 2,it is the same color as the tabled card
Red 3,"Wild Draw 4, Yellow 9, Green Draw 2, Yellow 1, Wild Normal, Green 8, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Red 3,"Wild Draw 4, Yellow 9, Green Draw 2, Yellow 1, Wild Normal, Green 8, Wild Draw 4",Wild Normal,Wild cards can be played on any colour
Red 3,"Wild Draw 4, Yellow 9, Green Draw 2, Yellow 1, Wild Normal, Green 8, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Yellow 0,"Red 5, Red 9, Red 4, Red 0, Green 8, Green Reverse, Yellow 9",Red 0,Wild cards can be played on any colour
Yellow 0,"Red 5, Red 9, Red 4, Red 0, Green 8, Green Reverse, Yellow 9",Yellow 9,it is the same color as the tabled card
Blue 3,"Green 9, Blue Skip, Yellow 9, Green 1, Yellow 6, Blue 7, Green 2",Blue Skip,it is the same color as the tabled card
Blue 3,"Green 9, Blue Skip, Yellow 9, Green 1, Yellow 6, Blue 7, Green 2",Blue 7,it is the same color as the tabled card
Green 5,"Blue Skip, Yellow 5, Green 5, Red 4, Red Draw 2, Yellow Skip, Blue 8",Yellow 5,Wild cards can be played on any colour
Green 5,"Blue Skip, Yellow 5, Green 5, Red 4, Red Draw 2, Yellow Skip, Blue 8",Green 5,it is the same color as the tabled card
Yellow Reverse,"Wild Normal, Green 4, Red Skip, Yellow Draw 2, Red 4, Yellow Reverse, Green 9",Wild Normal,Wild cards can be played on any colour
Yellow Reverse,"Wild Normal, Green 4, Red Skip, Yellow Draw 2, Red 4, Yellow Reverse, Green 9",Yellow Draw 2,it is the same color as the tabled card
Yellow Reverse,"Wild Normal, Green 4, Red Skip, Yellow Draw 2, Red 4, Yellow Reverse, Green 9",Yellow Reverse,it is the same color as the tabled card
Yellow 4,"Green Skip, Green 7, Green 6, Yellow Draw 2, Green 7, Yellow Reverse, Wild Draw 4",Yellow Draw 2,it is the same color as the tabled card
Yellow 4,"Green Skip, Green 7, Green 6, Yellow Draw 2, Green 7, Yellow Reverse, Wild Draw 4",Yellow Reverse,it is the same color as the tabled card
Yellow 4,"Green Skip, Green 7, Green 6, Yellow Draw 2, Green 7, Yellow Reverse, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Green 7,"Green 4, Yellow 5, Red 5, Blue Draw 2, Yellow 5, Green Reverse, Blue 0",Green 4,it is the same color as the tabled card
Green 7,"Green 4, Yellow 5, Red 5, Blue Draw 2, Yellow 5, Green Reverse, Blue 0",Green Reverse,it is the same color as the tabled card
Green 7,"Red 3, Yellow 1, Blue 5, Yellow 3, Red 4, Yellow 9, Blue 6",Pick up 1 card,If there are no allowed moves you must pick up
Blue 7,"Yellow 4, Blue 6, Wild Normal, Blue 6, Wild Draw 4, Green 4, Blue 7",Blue 6,it is the same color as the tabled card
Blue 7,"Yellow 4, Blue 6, Wild Normal, Blue 6, Wild Draw 4, Green 4, Blue 7",Wild Normal,Wild cards can be played on any colour
Blue 7,"Yellow 4, Blue 6, Wild Normal, Blue 6, Wild Draw 4, Green 4, Blue 7",Blue 6,it is the same color as the tabled card
Blue 7,"Yellow 4, Blue 6, Wild Normal, Blue 6, Wild Draw 4, Green 4, Blue 7",Wild Draw 4,Wild cards can be played on any colour
Blue 7,"Yellow 4, Blue 6, Wild Normal, Blue 6, Wild Draw 4, Green 4, Blue 7",Blue 7,it is the same color as the tabled card
Yellow 2,"Yellow 6, Blue Skip, Blue 7, Green 3, Green 2, Blue 8, Red 7",Yellow 6,it is the same color as the tabled card
Yellow 2,"Yellow 6, Blue Skip, Blue 7, Green 3, Green 2, Blue 8, Red 7",Green 2,Wild cards can be played on any colour
Green 9,"Blue 9, Red Draw 2, Yellow 8, Yellow Reverse, Yellow 1, Yellow 7, Green 0",Blue 9,Wild cards can be played on any colour
Green 9,"Blue 9, Red Draw 2, Yellow 8, Yellow Reverse, Yellow 1, Yellow 7, Green 0",Green 0,it is the same color as the tabled card
Yellow 2,"Green 3, Yellow Draw 2, Red Reverse, Red 7, Red 2, Blue 3, Wild Normal",Yellow Draw 2,it is the same color as the tabled card
Yellow 2,"Green 3, Yellow Draw 2, Red Reverse, Red 7, Red 2, Blue 3, Wild Normal",Red 2,Wild cards can be played on any colour
Yellow 2,"Green 3, Yellow Draw 2, Red Reverse, Red 7, Red 2, Blue 3, Wild Normal",Wild Normal,Wild cards can be played on any colour
Green Draw 2,"Green 0, Yellow 1, Yellow 4, Green 9, Red 4, Yellow 5, Wild Normal",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Red 7,"Blue 0, Yellow Draw 2, Blue Reverse, Green 3, Blue 8, Yellow 4, Red Draw 2",Red Draw 2,it is the same color as the tabled card
Red 1,"Red 7, Blue 1, Red 8, Yellow 1, Blue Draw 2, Red 8, Yellow 7",Red 7,it is the same color as the tabled card
Red 1,"Red 7, Blue 1, Red 8, Yellow 1, Blue Draw 2, Red 8, Yellow 7",Blue 1,Wild cards can be played on any colour
Red 1,"Red 7, Blue 1, Red 8, Yellow 1, Blue Draw 2, Red 8, Yellow 7",Red 8,it is the same color as the tabled card
Red 1,"Red 7, Blue 1, Red 8, Yellow 1, Blue Draw 2, Red 8, Yellow 7",Yellow 1,Wild cards can be played on any colour
Red 1,"Red 7, Blue 1, Red 8, Yellow 1, Blue Draw 2, Red 8, Yellow 7",Red 8,it is the same color as the tabled card
Yellow 5,"Blue 7, Red 2, Wild Normal, Red 5, Wild Draw 4, Red 5, Wild Draw 4",Wild Normal,Wild cards can be played on any colour
Yellow 5,"Blue 7, Red 2, Wild Normal, Red 5, Wild Draw 4, Red 5, Wild Draw 4",Red 5,Wild cards can be played on any colour
Yellow 5,"Blue 7, Red 2, Wild Normal, Red 5, Wild Draw 4, Red 5, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Yellow 5,"Blue 7, Red 2, Wild Normal, Red 5, Wild Draw 4, Red 5, Wild Draw 4",Red 5,Wild cards can be played on any colour
Yellow 5,"Blue 7, Red 2, Wild Normal, Red 5, Wild Draw 4, Red 5, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Yellow 4,"Green Skip, Yellow Skip, Red 9, Yellow Skip, Blue Skip, Red 0, Green 8",Yellow Skip,it is the same color as the tabled card
Yellow 4,"Green Skip, Yellow Skip, Red 9, Yellow Skip, Blue Skip, Red 0, Green 8",Yellow Skip,it is the same color as the tabled card
Green Reverse,"Green 9, Red Draw 2, Green 5, Blue Skip, Wild Normal, Green 9, Blue 1",Green 9,it is the same color as the tabled card
Green Reverse,"Green 9, Red Draw 2, Green 5, Blue Skip, Wild Normal, Green 9, Blue 1",Green 5,it is the same color as the tabled card
Green Reverse,"Green 9, Red Draw 2, Green 5, Blue Skip, Wild Normal, Green 9, Blue 1",Wild Normal,Wild cards can be played on any colour
Green Reverse,"Green 9, Red Draw 2, Green 5, Blue Skip, Wild Normal, Green 9, Blue 1",Green 9,it is the same color as the tabled card
Blue Skip,"Blue 9, Green 8, Green 0, Yellow 9, Red 0, Green Draw 2, Blue 3",Blue 9,it is the same color as the tabled card
Blue Skip,"Blue 9, Green 8, Green 0, Yellow 9, Red 0, Green Draw 2, Blue 3",Blue 3,it is the same color as the tabled card
Green 7,"Red 8, Green 6, Green 8, Yellow Skip, Yellow 2, Wild Draw 4, Red 1",Green 6,it is the same color as the tabled card
Green 7,"Red 8, Green 6, Green 8, Yellow Skip, Yellow 2, Wild Draw 4, Red 1",Green 8,it is the same color as the tabled card
Green 7,"Red 8, Green 6, Green 8, Yellow Skip, Yellow 2, Wild Draw 4, Red 1",Wild Draw 4,Wild cards can be played on any colour
Red 5,"Green 9, Green Reverse, Yellow Skip, Green 5, Blue 7, Wild Normal, Red Draw 2",Green 5,Wild cards can be played on any colour
Red 5,"Green 9, Green Reverse, Yellow Skip, Green 5, Blue 7, Wild Normal, Red Draw 2",Wild Normal,Wild cards can be played on any colour
Red 5,"Green 9, Green Reverse, Yellow Skip, Green 5, Blue 7, Wild Normal, Red Draw 2",Red Draw 2,it is the same color as the tabled card
Green 6,"Red 4, Green 4, Yellow Reverse, Red 0, Yellow 2, Yellow 0, Green 6",Green 4,it is the same color as the tabled card
Green 6,"Red 4, Green 4, Yellow Reverse, Red 0, Yellow 2, Yellow 0, Green 6",Green 6,it is the same color as the tabled card
Wild Draw 4,"Red 8, Yellow 9, Green 8, Yellow 6, Yellow 3, Green 1, Red Reverse",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Yellow Reverse,"Red Reverse, Red Reverse, Wild Normal, Red 3, Wild Draw 4, Blue Skip, Yellow 8",Red Reverse,Wild cards can be played on any colour
Yellow Reverse,"Red Reverse, Red Reverse, Wild Normal, Red 3, Wild Draw 4, Blue Skip, Yellow 8",Red Reverse,Wild cards can be played on any colour
Yellow Reverse,"Red Reverse, Red Reverse, Wild Normal, Red 3, Wild Draw 4, Blue Skip, Yellow 8",Wild Normal,Wild cards can be played on any colour
Yellow Reverse,"Red Reverse, Red Reverse, Wild Normal, Red 3, Wild Draw 4, Blue Skip, Yellow 8",Wild Draw 4,Wild cards can be played on any colour
Yellow Reverse,"Red Reverse, Red Reverse, Wild Normal, Red 3, Wild Draw 4, Blue Skip, Yellow 8",Yellow 8,it is the same color as the tabled card
Green Skip,"Wild Draw 4, Blue 9, Red 8, Blue 1, Blue Reverse, Yellow 3, Green 6",Wild Draw 4,Wild cards can be played on any colour
Green Skip,"Wild Draw 4, Blue 9, Red 8, Blue 1, Blue Reverse, Yellow 3, Green 6",Green 6,it is the same color as the tabled card
Yellow 0,"Red Skip, Blue Draw 2, Yellow 8, Red 5, Blue 7, Blue 3, Red 4",Yellow 8,it is the same color as the tabled card
Green 8,"Blue 1, Yellow 7, Blue 1, Yellow 4, Red 6, Red Skip, Red 8",Red 8,Wild cards can be played on any colour
